timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency
1784745214447,25,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-304,text,true,,17251,152,152,25
1784745214465,10,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-333,text,true,,1788,152,152,10
1784745214513,5,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-209,text,true,,9312,152,152,5
1784745214514,7,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-224,text,true,,9312,151,151,7
1784745214524,8,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-215,text,true,,1788,150,150,8
1784745214536,14,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-328,text,true,,1788,151,151,14
1784745214532,21,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-261,text,true,,17251,151,151,21
1784745214542,16,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-268,text,true,,9312,151,151,16
1784745214543,17,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-298,text,true,,9312,151,151,17
1784745214546,16,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-311,text,true,,9312,151,151,16
1784745214558,22,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-287,text,true,,17251,151,151,22
1784745214570,11,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-199,text,true,,9312,151,151,11
1784745214581,10,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-265,text,true,,1788,150,150,10
1784745214594,4,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-192,text,true,,9312,150,150,4
1784745214601,14,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-302,text,true,,17251,149,149,14
1784745214643,14,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-326,text,true,,9312,149,149,14
1784745214645,15,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-284,text,true,,1788,150,150,15
1784745214672,5,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-312,text,true,,9312,150,150,5
